rank,level,function,calls,time
5,0,Solver.pre_step_callback,5614,0.3685784339904785
5,0,Integrator.initial_acceleration,1,0.08981680870056152
5,0,Integrator.stage2,5614,0.07704997062683105
5,0,Integrator.initialize,5614,0.054548025131225586
5,0,Integrator.stage1,5614,0.03627896308898926
5,1,ParallelManager.migrate_partition,5053,193.70696330070496
5,1,nnps.update,57080,32.90484070777893
5,1,ParallelManager.update_partition,562,26.566092014312744
5,1,Integrator.update_domain,57080,2.43900203704834
5,1,ParallelManager.remove_remote_particles,5615,0.5940494537353516
5,2,PAExchange.remote_exchange_data,22460,95.88313508033752
5,2,PAExchange.lb_exchange_data,22460,26.780573844909668
5,2,ParallelManager.load_balance,562,0.14966511726379395
5,3,PAExchange.exchange_data,44920,41.39739465713501
